,label,area,bbox_area,convex_area,equivalent_diameter,max_intensity,mean_intensity,min_intensity,solidity,extent,feret_diameter_max,local_centroid-0,local_centroid-1,local_centroid-2,standard_deviation_intensity,minor_axis_length,intermediate_axis_length,major_axis_length
0,2,54018,95160,56545,46.90076854656797,55624.0,14464.512236661854,2656.0,0.955309930144133,0.5676544766708701,62.71363488110062,13.36439705283424,25.457754822466587,29.29395756969899,4805.435419860074,31.327968670939477,52.93383574086269,62.953106278875396
1,5,33789,71400,37316,40.110576635513375,27219.0,11941.699014472166,3841.0,0.905482902776289,0.47323529411764703,57.323642591866054,12.970641332978188,24.381988221018673,25.413921690490987,2634.1504622810253,27.770887823622886,40.47119471952685,58.424626907803216
2,6,37770,84150,40336,41.627735604182064,34332.0,12231.912126025947,4410.0,0.9363843712812376,0.4488413547237077,60.94259594077036,14.03722531109346,25.14368546465449,24.855361397934868,2812.4267722945897,30.7884389954094,40.258474651619046,59.12031511161183
3,10,62690,138355,70018,49.2870943661263,46093.0,13604.48684000638,3177.0,0.8953411979776629,0.4531097538939684,69.55573304911681,17.14129845270378,29.48540437071303,30.823368958366565,4320.199048075068,33.43371018280019,53.831091720509576,67.98854756474037
4,12,35227,67840,37057,40.67170189389572,34617.0,12520.697703466092,5216.0,0.9506166176430904,0.5192659198113208,56.621550667568265,14.429500099355607,18.455417719362988,25.085530984756012,2672.43339625364,31.836384046107018,37.53613159601055,57.4778722700513
5,13,50281,96720,53668,45.793281039756124,32910.0,13568.257433225273,2845.0,0.9368897667138705,0.5198614557485525,63.03967004989794,14.202084286310933,26.887969610787376,29.218631292138184,3758.1175838318754,30.65305080329385,50.74868074011653,62.747225256173294
6,14,47652,91035,49683,44.98083400746648,47610.0,15270.55766809368,3367.0,0.959120826037075,0.5234470258691712,55.263007518592396,16.303827751196174,24.445416771594058,24.6787123310669,5085.7988323081845,33.553811026760066,50.91797237819242,53.55539167812382
7,15,39960,74307,42190,42.417228208424525,42394.0,12881.410035035035,3746.0,0.9471438729556767,0.53776898542533,53.600373133029585,14.97082082082082,25.79259259259259,23.624574574574574,3322.7733050497363,31.962680542432878,45.3749369687145,53.14587995472679
8,18,41456,78336,43518,42.94008743778963,39406.0,13613.137712273254,3746.0,0.9526173077806884,0.5292075163398693,50.813384063650005,15.346849671941335,23.811318023928983,23.456532226939405,3504.7425359178937,33.75766077965197,47.63814225650991,49.489597472878685
9,20,37480,77175,39760,41.52092179794069,36134.0,13623.915715048026,2656.0,0.9426559356136821,0.4856494978943959,52.41183072551463,17.442716115261472,22.771798292422627,24.67398612593383,3463.962853102199,31.691873966003225,45.86552616017665,49.96017410673768
10,21,53894,119662,61516,46.86485366004806,41113.0,14404.345734219023,3462.0,0.8760972755055595,0.450385251792549,68.65857557508748,18.467565962815897,18.1073774446135,32.375292240323596,4509.947285212919,33.76161344263681,44.76292586806109,71.03517655098725
